"","glbq","suicide","hopeless","fight","rape","bully","ebully","academictrouble"
"3617",0,0,0,1,0,0,0,FALSE
"3618",0,0,0,0,0,1,0,FALSE
"3619",0,0,0,0,0,0,0,FALSE
"3621",0,0,0,0,0,0,0,FALSE
"3622",1,0,1,1,0,1,1,FALSE
"3624",0,0,0,0,0,0,0,FALSE
"3626",0,1,1,1,1,0,0,TRUE
"3627",0,1,1,0,0,0,0,FALSE
"3628",0,0,1,0,0,0,0,FALSE
"3629",0,0,0,0,0,0,0,FALSE
"3630",0,0,0,1,0,0,0,FALSE
"3631",1,1,1,1,1,1,1,FALSE
"3635",1,0,1,0,0,0,0,FALSE
"3638",0,0,0,0,0,0,0,FALSE
"3640",0,0,0,0,0,0,0,FALSE
"3643",0,0,0,0,0,0,1,FALSE
"3644",0,0,0,1,0,1,1,FALSE
"3646",0,0,0,0,0,1,1,FALSE
"3647",0,0,0,1,1,1,1,FALSE
"3648",0,0,0,0,0,0,0,FALSE
"3650",0,0,0,1,0,0,0,FALSE
"3652",0,0,0,0,0,0,0,FALSE
"3653",0,0,0,0,0,0,1,FALSE
"3654",0,0,0,0,0,1,0,FALSE
"3657",0,0,0,0,0,0,0,FALSE
"3658",0,0,0,1,0,1,0,TRUE
"3660",0,0,0,1,0,0,0,FALSE
"3661",0,0,0,0,0,0,0,FALSE
"3664",1,0,0,1,0,0,0,FALSE
"3665",0,0,0,0,0,0,0,FALSE
"3666",0,0,0,0,0,0,0,FALSE
"3667",1,0,0,0,0,0,0,FALSE
"3669",0,0,1,1,1,0,0,FALSE
"3670",0,0,0,0,0,0,0,FALSE
"3671",0,0,0,0,0,0,0,FALSE
"3672",0,0,1,1,0,0,0,FALSE
"3673",0,0,0,0,0,0,0,FALSE
"3674",0,0,0,0,0,0,0,FALSE
"3675",0,0,0,0,0,1,0,FALSE
"3676",0,0,0,0,0,0,0,FALSE
"3677",0,0,0,1,0,0,0,FALSE
"3678",0,0,0,0,0,0,0,FALSE
"3679",0,0,0,1,0,0,0,FALSE
"3685",0,0,0,0,0,0,0,FALSE
"3687",0,0,0,1,0,0,0,FALSE
"3688",0,0,0,0,0,0,0,FALSE
"3690",0,0,1,0,0,1,1,FALSE
"3691",0,0,0,0,0,0,0,FALSE
"3692",0,0,0,0,0,0,0,FALSE
"3693",0,0,0,0,0,1,0,TRUE
"3696",0,0,0,0,0,1,0,FALSE
"3699",0,0,0,0,0,0,0,FALSE
"3700",0,1,1,1,1,1,1,FALSE
"3701",0,0,0,0,0,0,0,FALSE
"3705",0,0,1,0,0,0,0,FALSE
"3706",0,0,1,0,0,0,0,FALSE
"3711",0,1,0,1,0,0,1,FALSE
"3712",0,0,0,0,0,0,0,FALSE
"3714",1,0,0,0,0,0,0,FALSE
"3715",0,0,0,0,0,0,0,FALSE
"3716",0,0,0,0,0,0,0,FALSE
"3719",0,0,0,1,0,0,0,FALSE
"3720",0,0,0,0,0,0,0,FALSE
"3722",0,0,0,0,0,0,0,FALSE
"3724",0,0,0,1,0,0,0,FALSE
"3725",0,0,0,0,1,0,0,FALSE
"3726",0,0,1,0,0,0,0,FALSE
"3727",0,0,0,0,0,0,0,FALSE
"3728",0,0,0,0,0,0,0,FALSE
"3729",0,0,0,0,0,0,0,FALSE
"3731",0,0,0,0,0,0,0,FALSE
"3733",0,0,0,0,0,0,0,FALSE
"3734",0,0,0,0,0,0,0,FALSE
"3738",0,0,0,0,0,0,0,FALSE
"3739",0,0,0,0,0,0,0,FALSE
"3740",0,1,1,0,0,0,0,FALSE
"3741",1,1,1,1,1,0,0,TRUE
"3744",0,0,0,0,0,0,0,FALSE
"3746",0,0,0,0,0,0,0,FALSE
"3748",0,0,0,0,0,0,0,FALSE
"3749",0,0,0,0,0,0,0,FALSE
"3750",0,0,0,1,0,0,0,FALSE
"3753",0,0,0,0,0,0,0,FALSE
"3756",0,0,0,0,0,0,0,FALSE
"3757",0,0,0,0,0,0,0,FALSE
"3759",0,0,0,0,0,0,0,FALSE
"3760",0,0,0,1,0,0,0,TRUE
"3761",0,0,0,0,0,0,0,FALSE
"3762",0,0,0,0,0,0,0,FALSE
"3763",0,0,0,0,0,1,1,FALSE
"3764",1,1,1,0,1,1,0,FALSE
"3765",0,0,0,1,0,0,0,TRUE
"3769",0,0,0,0,0,0,0,FALSE
"3770",1,1,0,0,1,0,1,FALSE
"3771",0,0,0,1,0,0,0,FALSE
"3773",1,0,0,1,0,0,0,FALSE
"3776",0,0,0,0,0,0,0,FALSE
"3777",0,0,0,1,0,0,0,FALSE
"3778",0,0,1,1,1,1,1,FALSE
"3780",0,0,0,0,0,0,0,FALSE
"3782",0,0,0,1,0,0,0,FALSE
"3783",1,0,0,1,0,0,0,FALSE
"3784",0,0,0,1,0,0,0,FALSE
"3786",0,0,1,0,0,1,1,FALSE
"3788",0,0,0,0,0,0,0,FALSE
"3789",0,0,0,0,0,0,0,FALSE
"3790",1,0,0,0,0,0,0,FALSE
"3792",0,0,0,0,0,0,0,FALSE
"3793",0,0,0,0,0,0,0,FALSE
"3794",0,0,1,1,0,0,0,FALSE
"3795",0,0,1,0,0,0,0,FALSE
"3797",0,0,0,0,0,0,0,FALSE
"3798",1,0,1,1,0,0,0,FALSE
"3801",0,0,0,0,0,0,0,FALSE
"3803",0,0,0,0,0,0,0,FALSE
"3804",0,0,0,1,0,0,0,FALSE
"3805",0,0,0,0,0,0,0,FALSE
"3806",0,0,1,1,0,0,0,FALSE
"3807",0,1,1,0,0,0,0,FALSE
"3808",0,0,0,0,0,0,0,FALSE
"3809",0,0,0,0,0,0,0,TRUE
"3810",0,0,0,0,0,1,0,FALSE
"3811",0,0,1,0,0,1,0,FALSE
"3812",0,0,0,0,0,0,0,FALSE
"3813",1,0,1,0,0,0,0,FALSE
"3814",0,0,0,0,0,0,0,FALSE
"3815",0,0,0,1,0,0,0,FALSE
"3817",0,0,0,0,1,0,0,FALSE
"3818",0,0,0,0,0,1,0,FALSE
"3819",0,0,0,0,0,0,0,FALSE
"3820",0,0,1,0,0,0,0,FALSE
"3821",0,1,0,0,0,0,0,FALSE
"3822",0,1,1,0,0,0,0,TRUE
"3823",0,0,0,0,0,0,0,FALSE
"3824",0,0,0,0,0,0,0,TRUE
"3825",0,0,0,0,0,0,0,FALSE
"3826",0,0,0,0,1,0,0,TRUE
"3827",0,0,0,0,0,0,1,FALSE
"3828",0,0,1,1,0,0,0,FALSE
"3829",0,0,0,0,0,1,1,FALSE
"3830",0,0,0,0,0,1,1,FALSE
"3831",0,0,0,0,0,0,0,FALSE
"3832",0,0,1,0,1,0,0,FALSE
"3833",0,0,0,0,0,0,0,FALSE
"3835",0,0,0,0,0,0,0,FALSE
"3836",0,0,0,0,0,0,0,FALSE
"3837",1,1,1,0,0,1,1,FALSE
"3838",0,0,0,0,0,0,0,FALSE
"3839",0,0,0,1,0,1,0,FALSE
"3840",0,0,1,0,0,0,0,FALSE
"3841",0,0,0,0,0,0,0,FALSE
"3842",0,0,0,0,0,0,0,FALSE
"3843",0,0,0,0,0,0,0,FALSE
"3844",0,0,0,0,0,0,0,FALSE
"3845",0,0,1,0,0,0,0,FALSE
"3846",0,0,0,0,0,0,0,FALSE
"3847",1,0,1,0,1,1,1,TRUE
"3848",0,0,1,1,0,0,0,TRUE
"3849",1,0,1,0,0,0,0,FALSE
"3850",0,0,1,0,0,0,1,FALSE
"3851",0,0,0,0,0,0,0,FALSE
"3852",0,0,0,0,0,1,0,FALSE
"3853",1,0,1,0,1,0,1,FALSE
"3854",0,0,0,0,0,0,0,FALSE
"3855",0,0,0,0,0,0,0,FALSE
"3856",0,0,1,0,0,0,0,FALSE
"3857",0,0,1,0,0,0,0,FALSE
"3858",0,0,1,1,0,0,0,TRUE
"3859",0,0,0,0,0,0,0,FALSE
"3860",0,0,0,0,0,0,0,FALSE
"3861",0,0,0,0,0,0,0,FALSE
"3862",0,0,0,0,0,0,0,FALSE
"3864",0,0,0,0,0,0,0,FALSE
"3865",0,0,0,0,0,0,0,FALSE
"3866",0,0,1,1,0,1,1,TRUE
"3867",0,0,0,0,0,1,0,FALSE
"3868",0,0,1,0,0,0,0,FALSE
"3869",0,0,0,0,0,0,0,FALSE
"3870",0,0,0,0,0,0,0,FALSE
"3871",0,1,1,0,0,0,0,FALSE
"3873",0,1,1,1,1,1,1,FALSE
"3874",0,0,0,0,0,0,0,FALSE
"3875",0,0,0,0,0,0,0,FALSE
"3877",0,0,1,0,0,0,1,FALSE
"3878",0,1,1,1,0,1,0,FALSE
"3879",0,0,0,0,0,0,0,FALSE
"3881",0,0,1,0,0,0,0,TRUE
"3882",0,0,1,0,0,0,0,FALSE
"3883",0,0,0,0,0,1,1,FALSE
"3884",0,0,0,0,0,0,0,FALSE
"3885",1,0,1,0,0,0,1,FALSE
"3887",0,0,0,0,1,0,0,FALSE
"3888",0,0,0,0,0,0,0,FALSE
"3889",1,0,1,1,0,0,0,FALSE
"3890",0,0,0,0,0,0,1,FALSE
"3891",0,0,0,1,0,1,0,FALSE
"3892",0,0,0,0,0,0,0,FALSE
"3893",1,0,0,0,0,1,1,FALSE
"3894",0,0,0,0,0,0,0,FALSE
"3895",0,0,1,1,1,1,1,TRUE
"3896",0,0,0,0,0,0,0,FALSE
"3897",1,1,1,1,1,1,1,TRUE
"3898",0,0,0,0,0,1,1,FALSE
"3899",0,0,0,1,0,1,0,FALSE
"3901",0,1,1,1,0,1,1,FALSE
"3902",0,0,0,0,0,0,0,FALSE
"3903",0,0,0,0,0,1,0,FALSE
"3904",1,1,1,0,1,1,1,FALSE
"3905",0,0,0,0,0,0,0,FALSE
"3906",0,0,0,0,0,1,0,FALSE
"3907",0,0,0,1,0,0,0,TRUE
"3909",0,0,0,0,0,0,0,FALSE
"3910",0,0,0,0,0,0,0,FALSE
"3912",0,0,1,0,1,1,1,FALSE
"3913",0,0,0,0,0,0,1,FALSE
"3914",0,0,0,0,0,0,0,FALSE
"3915",0,0,0,0,0,1,0,FALSE
"3916",0,0,0,0,0,0,0,FALSE
"3917",0,0,0,0,0,1,0,FALSE
"3918",0,0,1,0,0,0,1,FALSE
"3919",0,0,0,0,0,0,0,TRUE
"3920",0,0,1,0,0,0,0,FALSE
"3921",0,0,1,0,0,0,0,FALSE
"3922",0,0,0,0,0,0,1,FALSE
"3923",0,0,0,0,0,0,0,FALSE
"3924",0,0,0,0,0,0,0,FALSE
"3925",0,0,1,0,0,0,0,FALSE
"3926",0,0,1,1,0,0,0,FALSE
"3927",0,0,1,0,0,0,0,FALSE
"3928",0,0,0,0,0,1,0,FALSE
"3929",0,0,0,0,0,0,0,FALSE
"3931",0,0,0,0,0,0,0,FALSE
"3933",0,0,0,0,0,0,0,FALSE
"3934",0,0,0,0,0,0,0,FALSE
"3935",0,0,0,0,0,0,0,FALSE
"3936",0,1,1,1,0,1,1,FALSE
"3937",1,0,1,0,0,0,0,FALSE
"3938",0,0,1,0,0,0,0,FALSE
"3939",0,0,0,0,0,0,0,FALSE
"3940",0,0,0,0,0,0,0,FALSE
"3941",0,0,0,0,0,0,1,FALSE
"3942",0,0,1,0,0,1,0,FALSE
"3943",0,0,0,0,0,0,0,FALSE
"3944",0,0,1,0,1,1,0,FALSE
"3945",0,0,0,0,0,1,0,FALSE
"3946",0,0,0,0,0,0,0,FALSE
"3947",0,0,0,0,1,0,0,FALSE
"3948",0,0,0,0,0,0,0,FALSE
"3949",0,0,0,0,0,0,0,FALSE
"3950",0,0,1,0,0,0,0,FALSE
"3951",0,0,0,0,0,1,0,FALSE
"3952",0,0,0,1,0,0,0,TRUE
"3953",0,0,0,1,0,0,1,FALSE
"3954",0,0,0,0,0,0,1,FALSE
"3955",1,0,1,0,1,1,1,FALSE
"3956",1,1,1,1,1,1,1,FALSE
"3957",0,0,0,1,0,0,0,FALSE
"3958",0,0,1,0,0,0,1,FALSE
"3959",1,0,0,0,0,0,0,FALSE
"3960",0,0,0,0,0,0,0,FALSE
"3961",1,1,1,0,0,1,0,FALSE
"3962",0,0,1,0,0,0,0,FALSE
"3963",0,0,1,0,0,0,0,FALSE
"3964",1,0,0,0,1,0,0,FALSE
"3965",0,0,0,0,0,0,0,FALSE
"3966",1,1,1,1,1,0,0,TRUE
"3967",1,1,1,0,0,0,1,FALSE
"3968",0,0,0,1,0,1,1,FALSE
"3970",1,0,1,1,0,1,1,TRUE
"3971",0,0,0,0,0,1,0,FALSE
"3972",0,0,0,0,0,0,0,FALSE
"3973",0,0,1,0,0,0,0,FALSE
"3974",0,0,0,1,0,1,1,FALSE
"3975",0,0,0,1,0,0,0,FALSE
"3976",0,0,0,0,0,0,0,FALSE
"3977",0,0,0,0,0,0,0,FALSE
"3978",0,0,1,1,0,0,0,FALSE
"3979",1,1,1,0,0,0,0,FALSE
"3980",0,0,0,0,0,0,0,FALSE
"3981",0,0,0,0,0,0,1,FALSE
"3982",0,0,0,1,0,0,0,FALSE
"3983",1,0,1,0,0,0,0,FALSE
"3984",0,0,0,0,0,0,0,FALSE
"3985",0,0,0,0,0,0,0,FALSE
"3987",0,0,0,0,0,1,1,FALSE
"3988",0,1,1,1,1,1,1,TRUE
"3990",0,0,0,1,0,0,0,TRUE
"3991",1,0,0,0,0,0,0,FALSE
"3992",0,0,1,0,0,0,1,FALSE
"3993",0,1,1,1,1,1,1,FALSE
"3994",0,0,0,0,0,0,0,FALSE
"3995",0,0,0,1,0,0,0,FALSE
"3996",0,0,0,0,0,0,0,FALSE
"3997",0,1,1,1,1,0,1,FALSE
"3998",0,0,1,0,0,0,1,FALSE
"4000",0,1,1,0,1,0,1,FALSE
"4001",0,0,0,0,0,0,1,FALSE
"4002",0,0,0,0,0,0,0,FALSE
"4003",0,0,0,0,0,0,0,FALSE
"4004",0,0,0,0,0,0,0,FALSE
"4005",0,0,0,0,0,0,0,FALSE
"4006",1,0,1,1,0,1,1,FALSE
"4007",1,0,1,1,0,1,0,FALSE
"4008",0,0,0,1,0,0,1,FALSE
"4009",0,1,1,0,0,1,1,FALSE
"4010",0,0,0,0,0,0,0,FALSE
"4011",0,0,1,0,0,0,0,FALSE
"4012",0,0,0,0,0,0,0,FALSE
"4014",0,0,0,0,0,0,0,FALSE
"4015",0,0,0,0,0,0,0,FALSE
"4016",0,0,0,1,0,0,0,FALSE
"4017",0,0,0,0,1,0,1,FALSE
"4018",0,0,0,0,0,0,0,FALSE
"4019",0,0,0,0,0,0,0,FALSE
"4020",1,0,0,1,1,1,0,FALSE
"4021",0,0,1,0,0,0,0,FALSE
"4022",0,0,0,0,0,0,0,FALSE
"4023",0,0,0,0,0,0,0,FALSE
"4024",0,0,0,0,0,1,0,FALSE
"4025",1,0,1,1,0,1,1,FALSE
"4026",0,0,0,0,0,0,0,FALSE
"4027",0,0,1,0,0,0,0,FALSE
"4028",1,0,0,1,1,1,1,FALSE
"4029",1,1,1,1,0,1,1,TRUE
"4030",0,1,1,0,1,1,1,TRUE
"4031",0,0,0,0,0,0,0,FALSE
"4032",0,0,0,0,0,0,0,FALSE
"4033",0,0,0,0,0,1,0,FALSE
"4035",0,0,1,0,0,0,0,FALSE
"4036",0,0,0,1,0,0,0,FALSE
"4037",0,1,1,1,0,1,1,TRUE
"4038",1,0,1,0,0,1,1,TRUE
"4039",0,0,0,0,0,0,0,FALSE
"4040",0,0,0,1,0,0,0,FALSE
"4041",0,0,0,0,0,0,0,FALSE
"4042",0,0,1,0,0,1,0,FALSE
"4043",0,0,1,0,0,1,1,FALSE
"4044",0,0,1,0,0,0,0,FALSE
"4045",0,0,1,0,0,1,1,FALSE
"4046",0,0,1,1,0,0,0,FALSE
"4047",0,0,1,0,0,0,0,FALSE
"4048",0,0,0,0,0,0,0,FALSE
"4049",0,0,0,1,0,0,0,FALSE
"4052",0,0,0,0,0,0,0,FALSE
"4053",0,0,0,0,0,0,0,FALSE
"4054",0,0,0,0,0,0,0,FALSE
"4055",0,0,0,0,0,1,1,FALSE
"4056",0,0,0,0,0,0,0,FALSE
"4057",0,0,0,1,0,0,0,FALSE
"4058",0,1,1,1,0,1,1,FALSE
"4059",0,0,0,1,0,1,1,TRUE
"4060",0,0,1,0,0,0,0,FALSE
"4061",0,0,0,0,0,0,0,FALSE
"4062",0,0,0,1,0,1,1,FALSE
"4063",0,0,0,0,0,0,0,FALSE
"4064",0,1,1,1,1,1,1,FALSE
"4065",0,0,0,0,0,0,0,FALSE
"4066",0,0,0,0,0,0,0,FALSE
"4067",0,0,0,0,0,0,0,FALSE
"4068",0,0,0,0,0,0,0,FALSE
"4069",0,0,1,0,0,0,1,FALSE
"4070",0,0,0,0,0,0,0,FALSE
"4071",0,0,0,0,0,0,0,FALSE
"4072",0,0,0,1,0,0,0,FALSE
"4073",0,0,0,1,0,0,0,FALSE
"4074",0,0,0,1,0,0,0,FALSE
"4075",1,0,0,0,0,0,0,FALSE
"4076",0,0,0,0,0,0,0,FALSE
"4077",0,0,0,1,0,0,0,FALSE
"4079",1,0,1,1,0,0,0,TRUE
"4080",0,0,0,0,0,0,1,FALSE
"4081",0,0,1,1,0,0,0,FALSE
"4082",0,0,0,0,0,0,1,FALSE
"4083",0,0,1,1,0,0,0,FALSE
"4084",0,0,0,0,0,0,0,FALSE
"4085",0,0,0,0,0,0,0,TRUE
"4086",0,0,0,1,0,0,0,FALSE
"4088",0,0,0,1,0,1,1,FALSE
"4089",0,0,0,0,0,0,0,FALSE
"4090",0,0,1,1,0,1,0,FALSE
"4091",0,0,0,0,0,0,0,FALSE
"4092",0,0,0,0,0,0,0,FALSE
"4093",0,0,0,1,0,1,1,FALSE
"4094",0,0,1,1,0,1,0,FALSE
"4095",0,0,0,1,0,0,0,FALSE
"4096",0,0,1,0,0,0,0,FALSE
"4097",0,0,0,0,0,1,0,FALSE
"4098",0,0,0,0,0,0,0,FALSE
"4100",1,0,0,0,0,0,0,FALSE
"4101",0,0,0,0,0,0,0,FALSE
"4102",0,0,1,0,0,0,0,FALSE
"4103",0,0,0,0,0,0,0,FALSE
"4104",0,0,1,1,0,0,1,FALSE
"4105",0,0,1,0,0,0,0,FALSE
"4106",0,0,0,0,0,0,0,FALSE
"4107",0,0,0,0,0,0,0,FALSE
"4109",0,0,0,0,0,1,0,FALSE
"4110",0,1,0,1,0,0,0,TRUE
"4111",0,1,1,1,0,1,1,FALSE
"4112",0,0,0,1,0,0,0,FALSE
"4113",0,1,1,1,1,1,1,FALSE
"4114",0,0,1,0,0,0,1,FALSE
"4115",0,0,0,0,0,0,0,FALSE
"4116",1,0,0,0,0,0,0,FALSE
"4117",0,0,0,0,0,0,0,FALSE
"4118",0,0,0,0,0,0,0,FALSE
"4119",0,0,0,0,0,0,0,FALSE
"4120",0,0,0,0,0,0,0,FALSE
"4121",1,1,1,1,0,0,0,FALSE
"4122",0,0,1,0,0,0,0,FALSE
"4123",0,0,1,0,0,0,1,FALSE
"4124",0,0,1,0,0,0,1,FALSE
"4125",0,0,1,0,1,0,1,FALSE
"4126",0,1,1,1,0,1,1,FALSE
"4127",0,0,0,1,0,0,0,FALSE
"4128",0,1,1,0,0,1,1,FALSE
"4129",0,0,0,0,0,1,0,FALSE
"4130",0,0,0,0,0,0,0,FALSE
"4131",0,0,0,1,0,0,0,FALSE
"4132",0,0,0,0,0,0,0,FALSE
"4133",1,0,0,0,0,0,0,FALSE
"4134",0,0,1,0,0,0,0,FALSE
"4135",0,0,1,0,0,1,1,FALSE
"4136",0,0,0,0,0,0,0,FALSE
"4137",0,0,0,0,0,0,0,TRUE
"4139",1,0,0,0,1,0,0,FALSE
"4140",0,1,1,1,0,0,0,TRUE
"4141",0,0,1,1,0,0,0,FALSE
"4142",0,0,0,0,0,0,0,FALSE
"4143",0,0,0,0,0,0,0,FALSE
"4144",0,0,0,0,0,0,0,FALSE
"4145",0,0,0,0,0,1,0,FALSE
"4146",0,0,1,1,1,0,0,FALSE
"4147",0,0,0,0,0,1,0,FALSE
"4149",1,1,1,1,1,1,1,TRUE
"4150",0,0,0,0,0,0,0,FALSE
"4151",0,0,1,1,1,1,0,FALSE
"4152",0,0,0,0,0,0,0,FALSE
"4153",0,0,1,1,1,0,0,TRUE
"4155",0,0,0,0,0,0,0,FALSE
"4156",0,0,0,0,0,0,0,FALSE
"4157",0,0,0,0,0,0,0,FALSE
"4158",0,0,0,0,0,0,0,FALSE
"4159",0,1,1,0,0,1,1,TRUE
"4160",0,0,0,1,0,1,1,FALSE
"4161",1,1,1,0,0,0,0,FALSE
"4162",0,0,0,0,0,1,1,FALSE
"4163",0,0,0,0,0,0,0,FALSE
"4164",0,0,0,0,0,0,0,FALSE
"4165",0,0,0,0,0,0,0,FALSE
"4166",0,0,0,0,0,0,0,FALSE
"4167",0,1,1,1,0,1,1,FALSE
"4168",0,0,0,0,0,1,1,FALSE
"4169",0,0,0,0,0,0,0,FALSE
"4170",0,0,0,0,0,0,0,FALSE
"4171",0,0,0,0,0,0,0,FALSE
"4172",0,0,0,0,0,0,0,FALSE
"4173",0,0,0,0,0,0,0,FALSE
"4174",0,0,1,0,0,1,0,FALSE
"4175",0,0,0,0,0,0,0,FALSE
"4176",0,1,1,1,1,1,1,FALSE
"4177",0,0,1,0,0,0,0,FALSE
"4178",0,0,0,0,0,0,0,FALSE
"4179",0,0,0,0,1,1,1,FALSE
"4180",0,0,0,0,0,0,0,FALSE
"4181",0,0,0,0,0,0,0,FALSE
"4182",0,0,0,0,0,0,0,FALSE
"4183",0,0,1,0,0,0,1,FALSE
"4184",0,0,0,0,0,0,0,FALSE
"4186",0,0,0,0,0,1,0,FALSE
"4187",0,0,0,0,0,0,0,FALSE
"4188",0,0,0,0,0,0,0,FALSE
"4189",0,0,0,0,0,0,0,FALSE
"4190",1,0,0,0,0,0,0,FALSE
"4191",0,0,0,0,0,0,0,FALSE
"4192",0,0,0,1,0,0,0,FALSE
"4193",0,0,0,0,0,1,1,FALSE
"4194",0,0,1,0,0,0,0,FALSE
"4195",0,0,1,0,0,1,1,FALSE
"4196",0,0,0,0,0,0,0,FALSE
"4198",0,0,0,0,1,1,0,FALSE
"4199",0,0,0,0,0,0,0,FALSE
"4200",0,0,0,0,0,0,0,FALSE
"4201",0,0,0,0,0,0,0,FALSE
"4202",0,0,0,0,1,0,0,FALSE
"4203",0,0,0,0,0,0,0,FALSE
"4204",0,0,1,1,0,0,0,FALSE
"4205",0,0,1,0,0,0,0,FALSE
"4206",1,0,1,0,1,0,0,FALSE
"4207",0,0,0,0,0,1,0,FALSE
"4208",0,0,0,0,0,0,0,FALSE
"4210",0,0,0,0,0,0,0,FALSE
"4211",0,0,0,0,0,0,0,FALSE
"4212",0,0,0,0,0,0,0,FALSE
"4213",0,0,1,1,0,0,0,FALSE
"4214",0,0,0,0,0,1,1,FALSE
"4215",0,0,0,0,0,0,0,FALSE
"4216",1,0,0,1,0,0,0,FALSE
"4217",0,0,0,0,0,1,0,FALSE
"4218",0,0,0,0,0,0,0,FALSE
"4219",0,1,1,1,1,1,1,FALSE
"4220",0,0,0,0,0,0,0,FALSE
"4221",0,0,0,0,0,0,0,FALSE
"4222",0,0,0,0,0,1,1,FALSE
"4223",0,0,0,0,0,0,0,FALSE
"4224",0,0,1,0,0,0,0,FALSE
"4225",0,0,0,0,0,0,0,FALSE
"4226",0,0,0,0,0,0,0,FALSE
"4227",0,0,0,0,0,0,0,FALSE
"4228",0,1,1,1,0,0,0,FALSE
"4229",0,0,1,0,0,0,0,FALSE
"4231",0,1,1,0,0,0,0,FALSE
"4232",0,0,0,0,0,0,0,FALSE
"4233",0,0,0,0,0,0,0,FALSE
"4234",0,0,0,0,0,1,1,FALSE
"4236",0,1,0,1,0,1,0,FALSE
"4238",0,1,1,1,1,1,1,FALSE
"4239",0,0,0,0,0,0,0,FALSE
"4242",0,0,0,0,0,0,0,FALSE
"4244",0,0,0,1,0,0,0,FALSE
"4245",0,0,0,0,0,0,0,FALSE
"4246",0,0,0,1,0,0,0,FALSE
"4247",0,0,1,1,0,0,0,FALSE
"4248",0,0,0,0,0,0,0,FALSE
"4249",0,0,1,0,1,1,1,FALSE
"4251",0,0,0,0,0,0,0,FALSE
"4254",0,0,0,0,0,0,0,FALSE
"4257",0,0,0,1,0,0,0,FALSE
"4258",1,1,1,0,1,1,1,FALSE
"4259",0,0,0,0,0,0,0,FALSE
"4261",0,0,0,0,0,0,0,FALSE
"4262",0,0,0,0,0,0,0,FALSE
"4263",1,0,0,0,0,0,0,FALSE
"4265",0,0,1,0,0,0,0,FALSE
"4266",0,0,1,0,0,0,0,FALSE
"4267",0,0,0,0,0,0,0,FALSE
"4268",0,0,0,0,0,0,0,FALSE
"4269",0,0,0,0,0,0,0,FALSE
"4270",0,0,1,0,0,1,1,FALSE
"4271",0,1,1,1,0,0,0,FALSE
"4272",0,0,1,0,0,0,1,FALSE
"4273",0,0,0,1,0,1,1,FALSE
"4274",0,0,1,1,1,1,0,FALSE
"4275",0,0,1,0,1,0,0,FALSE
"4276",0,0,0,1,0,0,0,FALSE
"4277",0,0,1,0,0,0,0,FALSE
"4278",1,1,1,0,1,1,1,FALSE
"4279",0,0,0,0,0,0,0,FALSE
"4280",0,0,0,0,0,0,0,FALSE
"4282",0,0,1,0,0,1,0,FALSE
"4284",0,0,0,0,0,0,0,FALSE
"4285",0,0,0,0,0,0,0,FALSE
"4286",0,0,1,1,0,1,0,FALSE
"4288",0,0,1,0,0,0,0,FALSE
"4290",0,1,1,1,0,1,1,FALSE
"4292",0,0,0,1,0,0,0,FALSE
"4294",0,0,0,0,1,0,0,TRUE
"4295",0,1,1,1,0,0,0,FALSE
"4296",0,0,0,1,0,0,0,FALSE
"4297",0,0,1,0,0,0,0,FALSE
"4299",0,0,0,1,0,0,0,FALSE
"4300",1,1,1,0,1,0,0,FALSE
"4301",1,0,1,1,0,0,0,FALSE
"4302",0,0,1,0,0,0,0,FALSE
"4303",0,0,0,0,0,0,0,FALSE
"4304",1,1,1,1,0,1,1,TRUE
"4305",0,0,1,0,0,0,1,FALSE
"4306",0,0,1,1,0,0,0,FALSE
"4307",0,0,0,0,0,0,0,FALSE
"4308",0,0,0,0,0,0,0,FALSE
"4309",0,0,0,0,0,1,1,FALSE
"4310",0,0,1,1,0,0,0,TRUE
"4311",0,0,0,0,0,0,0,FALSE
"4312",0,0,0,0,0,0,0,FALSE
"4313",0,0,1,0,0,0,0,FALSE
"4314",0,0,0,0,0,0,0,FALSE
"4315",0,0,0,0,0,1,1,FALSE
"4316",0,0,0,0,0,0,0,FALSE
"4317",0,0,0,0,1,0,1,FALSE
"4318",0,1,1,0,0,1,1,FALSE
"4319",0,0,0,0,0,0,0,FALSE
"4320",0,0,0,0,0,0,0,FALSE
"4321",0,0,0,1,0,0,0,FALSE
"4322",0,0,1,0,0,0,0,FALSE
"4323",0,0,0,0,0,0,0,FALSE
"4324",0,0,0,0,0,0,0,FALSE
"4325",0,0,0,0,0,1,0,FALSE
"4326",0,0,0,0,0,0,0,FALSE
"4328",0,0,0,0,0,0,0,FALSE
"4329",0,0,0,0,0,0,0,FALSE
"4330",0,0,0,0,0,0,0,FALSE
"4331",0,0,0,0,0,0,1,FALSE
"4333",0,0,0,0,0,0,0,FALSE
"4334",0,0,1,0,0,0,0,FALSE
"4335",0,0,0,0,0,1,1,FALSE
"4336",0,0,0,0,0,0,0,FALSE
"4337",0,0,0,0,0,0,0,FALSE
"4338",0,0,1,0,1,1,1,FALSE
"4339",0,0,0,1,0,0,0,FALSE
"4341",0,0,0,0,0,0,0,FALSE
"4342",0,0,0,0,0,0,0,FALSE
"4344",0,0,0,0,0,1,0,FALSE
"4346",0,0,0,0,1,0,0,FALSE
"4347",0,0,0,0,0,1,0,FALSE
"4348",0,0,0,1,0,0,0,FALSE
"4349",0,0,0,1,0,0,0,FALSE
"4350",0,0,0,1,0,0,0,TRUE
