"","glbq","suicide","hopeless","fight","rape","bully","ebully","academictrouble"
"169",0,0,0,0,0,0,0,TRUE
"170",0,0,1,1,0,0,0,FALSE
"171",0,0,0,0,0,0,0,FALSE
"172",1,0,0,0,0,0,0,FALSE
"174",0,0,0,0,0,0,0,FALSE
"175",0,0,1,1,0,0,0,FALSE
"176",0,0,0,0,0,0,0,FALSE
"177",0,0,1,0,0,0,0,FALSE
"178",0,0,0,0,0,0,0,FALSE
"179",1,0,1,1,0,0,0,TRUE
"180",0,1,1,0,0,0,0,FALSE
"181",0,0,0,0,1,0,0,FALSE
"182",0,0,0,0,0,0,0,FALSE
"183",0,0,0,0,1,1,0,FALSE
"184",0,0,0,1,0,0,0,FALSE
"185",0,0,1,0,0,0,0,TRUE
"187",0,0,0,0,0,0,0,FALSE
"188",0,0,0,0,0,0,0,FALSE
"189",0,0,0,0,0,0,0,FALSE
"191",0,0,0,0,0,0,0,FALSE
"192",0,0,0,0,0,0,0,FALSE
"193",0,1,1,0,0,0,0,FALSE
"194",1,0,0,0,0,0,0,FALSE
"195",0,0,1,1,0,1,1,FALSE
"196",0,0,0,0,0,0,0,FALSE
"197",0,0,0,0,0,1,0,FALSE
"198",0,0,0,0,0,0,0,FALSE
"199",0,0,0,1,0,0,0,FALSE
"200",0,0,1,0,0,1,1,FALSE
"201",1,0,1,0,1,0,0,FALSE
"202",0,0,0,0,0,0,0,FALSE
"205",0,0,0,1,0,0,0,FALSE
"208",0,0,1,0,0,0,0,FALSE
"209",1,1,1,0,0,0,0,FALSE
"211",1,0,0,1,0,0,0,FALSE
"212",0,0,1,0,0,0,0,FALSE
"214",0,0,1,0,0,0,0,FALSE
"215",0,0,1,1,0,0,0,FALSE
"218",0,0,0,0,1,1,1,FALSE
"221",0,0,0,0,0,0,0,FALSE
"222",0,1,1,0,0,1,0,FALSE
"223",0,0,0,0,0,0,0,FALSE
"224",0,0,0,0,0,1,0,FALSE
"225",0,1,1,0,0,0,0,FALSE
"226",1,0,0,1,0,0,0,FALSE
"227",0,0,0,1,0,0,0,FALSE
"228",0,0,0,0,0,0,0,FALSE
"229",0,0,1,1,0,0,0,FALSE
"230",0,0,0,0,0,0,0,FALSE
"233",0,0,0,0,0,0,0,FALSE
"234",0,0,0,0,0,0,0,FALSE
"235",0,0,0,1,0,0,0,FALSE
"236",0,0,0,0,0,0,0,FALSE
"237",0,0,0,0,0,0,0,FALSE
"242",0,0,1,0,0,0,0,FALSE
"243",0,0,0,0,0,0,0,FALSE
"244",0,0,0,0,0,0,0,FALSE
"245",0,0,0,0,0,0,0,FALSE
"246",0,0,0,0,0,0,0,FALSE
"248",1,1,1,1,1,1,1,FALSE
"251",0,0,0,1,0,0,0,FALSE
